Gender,Year,Total,Less than 9th degree,high school not complete,High School,college no degree,Associate degree,total,Bachelor's Degree,Master's Degree,Professional Degree,Doctor's Degree
Male,1990,60130,34030,40900,52150,62090,NA,83490,76780,NA,NA,NA
Male,1995,57970,30790,37220,49510,56850,59060,84690,75940,92640,133660,109620
Male,2000,60960,30860,37260,50930,59890,62280,91850,83640,101430,147590,119140
Male,2001,60090,30840,37840,50130,59260,61760,89840,80750,102370,144380,125560
Male,2002,58490,29730,36820,47200,58060,60910,87690,79700,95630,142130,118400
Male,2003,58290,29490,36780,49210,57460,59580,86270,78520,98170,138980,121090
Male,2004,56960,29320,35570,48350,56710,60100,85000,77450,96820,135350,111530
Male,2005,56710,29230,35590,47520,55530,61760,86620,78570,98220,130910,112400
Male,2006,58030,28800,35070,46960,55590,59700,84880,77240,95660,126820,126820
Male,2007,57960,28820,36150,46680,55360,60470,86810,76550,94060,123300,113550
Male,2008,58180,28800,35240,46320,54410,59550,85750,78130,96140,118740,118740
Male,2009,59580,28530,33390,47040,56120,59940,85160,74410,94550,146860,120050
Male,2010,59050,28670,34510,46960,54440,58950,84160,74730,94920,135180,118680
Male,2011,57570,28670,34580,45970,53500,57880,83940,75240,94370,135790,114530
Male,2012,56740,27980,33770,44930,52540,56750,83870,73660,94780,129560,118550
Male,2013,56100,28710,33540,44210,52290,55970,83520,73790,94720,139070,115540
Male,2014,55500,28710,33300,44200,50640,55200,81970,73610,91530,131490,108760
Male,2015,56420,29290,34670,44840,53580,56170,85560,77000,93560,141510,110380
Male,2016,57250,32330,34610,44620,52450,55520,85550,76300,94200,125210,128280
Male,2017,58020,32330,36110,44260,53030,57050,84880,75090,95540,132700,123540
Male,2018,58470,32380,36250,46400,52630,57750,84340,76510,101420,137890,117890
Male,2019,60610,32140,37150,46850,53810,58800,86740,77090,100560,150100,128650
Female,1990,41820,23970,28230,35840,43490,NA,59440,54820,NA,NA,NA
Female,1995,41730,22780,26550,34330,40260,45820,59150,53770,67550,83890,80770
Female,2000,45030,23450,26600,37070,42610,46130,63400,60000,74440,87530,84750
Female,2001,45270,24100,27660,36530,43920,46420,64650,59190,73160,89150,89700
Female,2002,44070,23470,27440,35790,41790,44950,61460,58060,69490,81040,93400
Female,2003,43870,23500,26320,36240,41890,44820,62700,57430,69710,92410,93410
Female,2004,43300,23040,25940,35230,41710,45320,62140,56420,69460,101560,93220
Female,2005,43300,21130,26350,34410,41100,44430,61460,55210,67300,105330,87520
Female,2006,44510,23000,25530,33910,40520,44590,62870,57590,66500,96690,89430
Female,2007,44490,22520,25150,33590,40490,44800,62140,56440,68340,87670,85060
Female,2008,43580,22130,24230,33700,38740,43650,61040,55840,68290,84660,87900
Female,2009,44410,22020,25290,34740,40620,44410,61820,55810,72770,99990,91260
Female,2010,44900,21380,24480,35010,39160,44290,60900,55610,69290,89970,90740
Female,2011,44220,22850,24000,34110,39320,44650,59260,55810,68540,91740,88040
Female,2012,44520,22340,23810,33860,39040,41560,59780,55870,67840,105200,86750
Female,2013,44570,21770,24420,33800,38680,41380,61150,55690,67250,93720,82410
Female,2014,44090,22670,23740,33100,37120,40470,60410,55450,65690,99150,86980
Female,2015,44960,22710,24450,33710,38990,43350,61720,55750,67280,88960,88780
Female,2016,45810,23660,26420,33600,39290,42840,63980,55420,69140,98030,92000
Female,2017,46530,23320,26550,33630,38200,42390,63350,54690,71450,104480,95990
Female,2018,47420,23380,25590,33210,39540,42240,62880,57710,67950,101590,96900
Female,2019,49680,24560,26740,35100,40810,42300,62480,57420,70810,102460,101170
